Longchamp,4,longchamp.com,,4,2,4,1.2,1.5,0,0.1,0,https://directory.goodonyou.eco/brand/longchamp ,France
Louis Vuitton,4,louisvuitton.com,LVMH,4,4,2,8,7.7,1.9,1.1,0.1,https://directory.goodonyou.eco/brand/louis-vuitton ,France
Lululemon,3,"lululemon.com, shop.lululemon.com",,4,4,6,7.8,4.6,3.4,1.7,5.9,https://directory.goodonyou.eco/brand/lululemon,Canada
Macy's,3,macys.com,Macy's Inc.,4,2,4,4.8,1.5,1.1,0.2,0,https://directory.goodonyou.eco/brand/macys,United States
Mammut,1,mammut.com,Conzzeta AG,6,4,6,5.2,1.5,3,2.7,3.1,https://directory.goodonyou.eco/brand/mammut,Switzerland
Mango,2,"mango.com, shop.mango.com",,4,4,4,6.5,1.5,2.6,2.2,1.5,https://directory.goodonyou.eco/brand/mango,Spain
Marc Jacobs,3,marcjacobs.com,LVMH,4,4,4,8,7.7,1.9,1,0.1,https://directory.goodonyou.eco/brand/marc-jacobs,United States
Marks & Spencer,1,marksandspencer.com,,6,6,6,8.3,6.2,4.5,2.9,5.4,https://directory.goodonyou.eco/brand/marks-and-spencer,United Kingdom
Marni,3,marni.com,OTB Group,2,4,4,2.8,0,0.4,0,0,https://directory.goodonyou.eco/brand/marni ,Italy
Massimo Dutti,3,massimodutti.com,Inditex,4,4,4,8.9,6.2,3.4,4.2,0.1,https://directory.goodonyou.eco/brand/massimo-dutti ,Spain
Matalan,1,"matalan.com, matalan.co.uk",,4,4,6,4.5,0.8,1.7,0.7,1.8,https://directory.goodonyou.eco/brand/matalan ,United Kingdom
Max Mara,3,maxmara.com,,2,2,0,0.3,0,0,0,0,https://directory.goodonyou.eco/brand/max-mara ,Italy
Merrell,2,merrell.com,Wolverine World Wide Inc.,4,2,4,3.9,0,1.1,0.4,0.1,https://directory.goodonyou.eco/brand/merrelll,United States
Michael Kors,3,"michaelkors.com, michaelkors.ca",Capri Holdings Limited,4,4,2,5.8,3.1,1.7,0.8,0.1,https://directory.goodonyou.eco/brand/michael-kors,United States
Miu Miu,4,miumiu.com,Prada Group,4,4,4,4.8,3.1,0.9,1.3,1.5,https://directory.goodonyou.eco/brand/miu-miu,France
Mizuno,4,mizunousa.com,,4,4,4,5.4,1.5,1.5,1.2,2.3,https://directory.goodonyou.eco/brand/mizuno ,Japan
Moncler,4,moncler.com,,4,4,4,6.9,3.1,1.5,1.2,0.1,https://directory.goodonyou.eco/brand/moncler,Italy
Muji,3,muji.com,,4,4,6,7.5,3.1,3,1.4,0.1,https://directory.goodonyou.eco/brand/muji,Japan
New Balance,3,"newbalance.com, newbalance.ca",,4,6,4,8.1,5.4,3.8,2.3,4.7,https://directory.goodonyou.eco/brand/new-balance ,United States
New Look,2,newlook.com,,4,4,4,6.8,4.6,2.6,1.8,4.1,https://directory.goodonyou.eco/brand/new-look,United Kingdom
New Yorker,1,newyorker.de,,2,2,0,0.3,0,0,0,0,https://directory.goodonyou.eco/brand/new-yorker,Germany
Next,2,nextdirect.com,,4,4,4,8.9,2.3,3.6,2.8,3.6,https://directory.goodonyou.eco/brand/next,United Kingdom
Nike,3,nike.com,"Nike, Inc.",6,6,4,9.2,6.2,3.2,4.8,6.1,https://directory.goodonyou.eco/brand/nike ,United States
